x,Curve1
1002.76,63.5496
1015.48,64.0585
1026.82,65.2672
1038.7,66.2214
1050.04,67.0483
1062.76,67.7481
1074.37,68.3842
1085.98,68.9567
1098.42,69.5929
1110.31,70.0382
1122.75,70.3562
1135.47,70.7379
1147.91,70.9288
1159.24,71.883
1168.36,73.5369
1179.7,75.1908
1189.1,76.8448
1199.05,78.5623
1209.83,79.9618
1221.45,80.8524
1233.33,81.743
1244.94,82.6336
1257.11,83.5242
1267.61,84.3511
1280.06,85.3053
1291.94,86.1323
1303.55,87.0865
1312.12,86.4504
1318.48,83.9695
1325.39,81.2341
1331.2,78.6896
1338.11,76.2087
1344.75,73.5369
1350.55,71.1832
1363.55,70.2926
1375.71,69.5929
1387.32,68.8295
1398.93,68.1934
1410.27,67.3664
1418.56,68.5115
1425.75,70.8651
1433.21,73.5369
1441.51,76.145
1447.87,78.5623
1457.82,80.1527
1468.05,81.2341
1479.11,82.5064
1489.89,83.5878
1500.39,84.7964
1511.45,86.0051
1522.24,87.0865
1532.19,88.1043
1542.42,89.313
1553.75,90.5216
1564.81,91.4758
1575.87,92.4936
1587.48,93.4478
1599.37,94.4656
1609.6,95.2926
1621.76,96.3104
1632.27,97.2646
1643.88,98.2188
1656.32,99.3003
1669.31,99.4275
1682.86,99.3639
1695.85,99.3639
